accion;tipo;fecha_vencimiento;strike;volumen_contratos;posicion_abierta;fecha_boletin
MINI IBEX-35;CALL;May-26 w2 16.200;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.300;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.400;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.500;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.600;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.650;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.700;;2;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.750;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.800;;2;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.900;;2;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.950;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 16.975;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.000;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.100;;2;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.150;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.200;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.250;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.300;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.350;;2;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.400;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.500;;8;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.600;;5;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.625;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.650;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.700;;23;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.750;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.775;;8;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.800;;8;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.825;;9;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.850;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 17.900;;3;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 18.000;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 18.175;;1;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 18.225;;2;-;08/05/26
MINI IBEX-35;CALL;May-26 w2 18.250;;5;-;08/05/26
MINI IBEX-35;CALL;May-26;14.100;-;11;08/05/26
MINI IBEX-35;CALL;May-26;14.300;-;1;08/05/26
MINI IBEX-35;CALL;May-26;14.400;-;2;08/05/26
MINI IBEX-35;CALL;May-26;14.500;-;240;08/05/26
MINI IBEX-35;CALL;May-26;14.600;-;1;08/05/26
MINI IBEX-35;CALL;May-26;14.700;-;2;08/05/26
MINI IBEX-35;CALL;May-26;14.800;-;10;08/05/26
MINI IBEX-35;CALL;May-26;15.500;-;459;08/05/26
MINI IBEX-35;CALL;May-26;15.600;-;5;08/05/26
MINI IBEX-35;CALL;May-26;15.650;-;3;08/05/26
MINI IBEX-35;CALL;May-26;15.700;-;12;08/05/26
MINI IBEX-35;CALL;May-26;15.750;-;6;08/05/26
MINI IBEX-35;CALL;May-26;15.800;-;5;08/05/26
MINI IBEX-35;CALL;May-26;15.850;-;1;08/05/26
MINI IBEX-35;CALL;May-26;15.900;-;21;08/05/26
MINI IBEX-35;CALL;May-26;16.000;-;9;08/05/26
MINI IBEX-35;CALL;May-26;16.050;-;1;08/05/26
MINI IBEX-35;CALL;May-26;16.100;-;14;08/05/26
MINI IBEX-35;CALL;May-26;16.150;-;1;08/05/26
MINI IBEX-35;CALL;May-26;16.200;-;14;08/05/26
MINI IBEX-35;CALL;May-26;16.300;-;7;08/05/26
MINI IBEX-35;CALL;May-26;16.350;-;78;08/05/26
MINI IBEX-35;CALL;May-26;16.400;-;104;08/05/26
MINI IBEX-35;CALL;May-26;16.450;-;2;08/05/26
MINI IBEX-35;CALL;May-26;16.500;1;117;08/05/26
MINI IBEX-35;CALL;May-26;16.550;-;4;08/05/26
MINI IBEX-35;CALL;May-26;16.600;-;9;08/05/26
MINI IBEX-35;CALL;May-26;16.650;-;5;08/05/26
MINI IBEX-35;CALL;May-26;16.700;2;27;08/05/26
MINI IBEX-35;CALL;May-26;16.750;-;12;08/05/26
MINI IBEX-35;CALL;May-26;16.800;-;2;08/05/26
