fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
22/07/26;MINI IBEX-35;CALL;Ago-26;16.500;19571.3;26,93;0,99;;4
22/07/26;MINI IBEX-35;CALL;Ago-26;17.000;19571.3;24,91;0,98;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;17.500;19571.3;22,90;0,96;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;17.700;19571.3;22,09;0,95;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;18.000;19571.3;20,89;0,92;;14
22/07/26;MINI IBEX-35;CALL;Ago-26;18.050;19571.3;20,68;0,92;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;18.150;19571.3;20,28;0,91;;4
22/07/26;MINI IBEX-35;CALL;Ago-26;18.200;19571.3;20,08;0,90;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;18.300;19571.3;19,68;0,89;;2
22/07/26;MINI IBEX-35;CALL;Ago-26;18.350;19571.3;19,48;0,89;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;18.400;19571.3;19,27;0,88;;6
22/07/26;MINI IBEX-35;CALL;Ago-26;18.450;19571.3;19,07;0,87;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;18.500;19571.3;18,87;0,86;1;7
22/07/26;MINI IBEX-35;CALL;Ago-26;18.600;19571.3;18,47;0,84;;3
22/07/26;MINI IBEX-35;CALL;Ago-26;18.800;19571.3;17,66;0,80;;6
22/07/26;MINI IBEX-35;CALL;Ago-26;18.850;19571.3;17,46;0,79;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;18.900;19571.3;17,26;0,78;;4
22/07/26;MINI IBEX-35;CALL;Ago-26;19.000;19571.3;16,86;0,75;4;16
22/07/26;MINI IBEX-35;CALL;Ago-26;19.100;19571.3;16,45;0,72;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;19.150;19571.3;16,25;0,70;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;19.200;19571.3;16,05;0,68;;77
22/07/26;MINI IBEX-35;CALL;Ago-26;19.300;19571.3;15,65;0,65;1;8
22/07/26;MINI IBEX-35;CALL;Ago-26;19.350;19571.3;15,45;0,62;;7
22/07/26;MINI IBEX-35;CALL;Ago-26;19.400;19571.3;15,25;0,60;;6
22/07/26;MINI IBEX-35;CALL;Ago-26;19.450;19571.3;15,04;0,58;;2
22/07/26;MINI IBEX-35;CALL;Ago-26;19.500;19571.3;14,84;0,56;4;11
22/07/26;MINI IBEX-35;CALL;Ago-26;19.550;19571.3;14,64;0,54;2;2
22/07/26;MINI IBEX-35;CALL;Ago-26;19.600;19571.3;14,44;0,51;;44
22/07/26;MINI IBEX-35;CALL;Ago-26;19.650;19571.3;14,33;0,49;4;6
22/07/26;MINI IBEX-35;CALL;Ago-26;19.700;19571.3;14,24;0,46;;111
22/07/26;MINI IBEX-35;CALL;Ago-26;19.750;19571.3;14,15;0,44;;100
22/07/26;MINI IBEX-35;CALL;Ago-26;19.800;19571.3;14,06;0,41;11;31
22/07/26;MINI IBEX-35;CALL;Ago-26;19.850;19571.3;13,97;0,39;;100
22/07/26;MINI IBEX-35;CALL;Ago-26;19.900;19571.3;13,88;0,36;;14
22/07/26;MINI IBEX-35;CALL;Ago-26;19.950;19571.3;13,79;0,34;;10
22/07/26;MINI IBEX-35;CALL;Ago-26;20.000;19571.3;13,70;0,32;2;103
22/07/26;MINI IBEX-35;CALL;Ago-26;20.100;19571.3;13,52;0,27;1;3
22/07/26;MINI IBEX-35;CALL;Ago-26;20.200;19571.3;13,34;0,23;;3
22/07/26;MINI IBEX-35;CALL;Ago-26;20.300;19571.3;13,16;0,19;;8
22/07/26;MINI IBEX-35;CALL;Ago-26;20.400;19571.3;12,98;0,15;1;1
22/07/26;MINI IBEX-35;CALL;Ago-26;20.450;19571.3;12,89;0,13;;1
22/07/26;MINI IBEX-35;CALL;Ago-26;20.500;19571.3;12,80;0,12;;12
22/07/26;MINI IBEX-35;CALL;Sep-26;7.500;19571.3;55,90;1,00;;3
22/07/26;MINI IBEX-35;CALL;Sep-26;12.200;19571.3;40,18;1,00;;32
22/07/26;MINI IBEX-35;CALL;Sep-26;14.000;19571.3;34,16;0,99;;5
22/07/26;MINI IBEX-35;CALL;Sep-26;15.000;19571.3;30,81;0,98;;2
22/07/26;MINI IBEX-35;CALL;Sep-26;15.500;19571.3;29,14;0,98;;1
22/07/26;MINI IBEX-35;CALL;Sep-26;16.000;19571.3;27,47;0,97;;5.500
22/07/26;MINI IBEX-35;CALL;Sep-26;16.400;19571.3;26,13;0,96;;3
22/07/26;MINI IBEX-35;CALL;Sep-26;16.500;19571.3;25,80;0,95;;1
22/07/26;MINI IBEX-35;CALL;Sep-26;17.000;19571.3;24,13;0,93;;3
22/07/26;MINI IBEX-35;CALL;Sep-26;17.200;19571.3;23,46;0,92;;1
22/07/26;MINI IBEX-35;CALL;Sep-26;17.300;19571.3;23,12;0,92;;5
22/07/26;MINI IBEX-35;CALL;Sep-26;17.400;19571.3;22,79;0,91;;3
22/07/26;MINI IBEX-35;CALL;Sep-26;17.500;19571.3;22,45;0,90;;7
22/07/26;MINI IBEX-35;CALL;Sep-26;17.600;19571.3;22,12;0,90;;2
22/07/26;MINI IBEX-35;CALL;Sep-26;18.000;19571.3;20,78;0,86;;103
22/07/26;MINI IBEX-35;CALL;Sep-26;18.100;19571.3;20,45;0,85;;1
22/07/26;MINI IBEX-35;CALL;Sep-26;18.200;19571.3;20,11;0,83;;6
22/07/26;MINI IBEX-35;CALL;Sep-26;18.300;19571.3;19,78;0,82;;3
