==============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 13/08/26
==============================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
13/08/26       SANTANDER  CALL  Ago-26             13,00   4.590              4.614           
13/08/26       SANTANDER  CALL  Ago-26             12,50   2.295              2.362           
13/08/26       SANTANDER  PUT   Jun-27             10,00   2.000              10.005          
13/08/26       INDRA      CALL  Dic-26             60,00   438                196             
13/08/26       SANTANDER  PUT   Jun-27             12,50   350                365             
13/08/26       SANTANDER  PUT   Ago-26             12,00   225                8               
13/08/26       IAG        CALL  Sep-26             4,90    200                223             
13/08/26       BBVA       CALL  Jun-27             25,00   158                1.207           
13/08/26       SANTANDER  CALL  Jun-27             13,50   153                157             
13/08/26       IAG        CALL  Dic-26             5,25    100                671             
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
Generado: 14/08/2026 04:48
