=================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 20/08/26
=================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
20/08/26       BBVA          PUT   Dic-26             19,00   6.000              19.517          
20/08/26       BBVA          PUT   Dic-26             21,00   6.000              15.140          
20/08/26       SANTANDER     CALL  Ago-26             10,50   1.800              1               
20/08/26       SANTANDER     CALL  Mar-27             11,00   1.800              1.820           
20/08/26       BBVA          PUT   Dic-26             24,00   505                505             
20/08/26       REPSOL        PUT   Sep-26             25,00   400                413             
20/08/26       SANTANDER     CALL  Ago-26             11,00   360                321             
20/08/26       ACERINOX      PUT   Sep-26             18,50   125                25              
20/08/26       SANTANDER     PUT   Mar-27             11,00   100                9.547           
20/08/26       MINI IBEX-35  PUT   Sep-26             17.000  100                127             
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
Generado: 21/08/2026 03:51
