==================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 17/09/26
==================================================================================================

FECHA_BOLETIN  ACCION         TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  -------------  ----  -----------------  ------  -----------------  ----------------
17/09/26       TELEFONICA     PUT   Oct-26             3,60    10.507             20.839          
17/09/26       TELEFONICA     CALL  Nov-26             3,80    7.010              7.000           
17/09/26       FERROVIAL      PUT   Dic-28             44,00   2.500              2.500           
17/09/26       FERROVIAL      CALL  Oct-26             48,00   2.000              2.000           
17/09/26       BBVA           PUT   Jun-27             15,00   2.000              2.600           
17/09/26       LABORAT. ROVI  PUT   Sep-26             70,00   1.500                              
17/09/26       AMADEUS        PUT   Jun-27             40,00   1.250              1.250           
17/09/26       SANTANDER      PUT   Nov-26             11,50   750                952             
17/09/26       SANTANDER      PUT   Nov-26             12,00   650                726             
17/09/26       IBERDROLA      CALL  Sep-26             14,00   200                150             
-------------  -------------  ----  -----------------  ------  -----------------  ----------------
Generado: 18/09/2026 08:01
